steps,episode_reward,episode_length,completed
49819,72.170403,120,True
49939,74.517512,120,True
50032,47.954995,93,False
50152,75.605934,120,True
50272,69.762919,120,True
50392,67.807404,120,True
50512,69.083216,120,True
50632,79.74196,120,True
50747,50.711457,115,False
50867,73.830537,120,True
50987,65.046534,120,True
51086,46.00434,99,False
51206,74.583879,120,True
51326,72.200362,120,True
51446,70.442662,120,True
51566,68.333953,120,True
51686,73.809222,120,True
51806,44.307029,120,True
51926,60.680481,120,True
52046,70.958014,120,True
52166,59.924552,120,True
52286,76.732904,120,True
52397,53.437307,111,False
52517,53.121422,120,True
52637,61.460064,120,True
52757,58.946745,120,True
52877,77.767497,120,True
52997,76.988325,120,True
53117,64.144414,120,True
53237,71.306764,120,True
53357,71.705599,120,True
53477,67.002747,120,True
53597,66.07906,120,False
53717,71.907042,120,True
53822,49.656938,105,False
53942,69.384328,120,True
54062,78.237867,120,True
54182,74.43771,120,True
54302,59.709901,120,True
54422,76.035731,120,True
54542,73.468695,120,True
54662,61.168757,120,True
54782,68.794387,120,True
54902,69.08037,120,True
55022,48.218172,120,True
55142,73.760499,120,True
55262,76.939597,120,True
55381,60.85318,119,False
55501,72.135639,120,True
55621,78.919141,120,True
55741,68.0778,120,True
55861,53.253427,120,True
55981,77.924585,120,True
56101,72.76692,120,True
56221,74.825346,120,True
56324,49.790971,103,False
56444,72.033721,120,True
56564,74.401508,120,True
56684,64.89218,120,True
56804,64.883859,120,True
56924,61.573779,120,True
57044,77.346678,120,True
57164,63.507135,120,True
57284,72.938687,120,True
57404,67.938228,120,True
57524,70.840377,120,True
57640,63.028426,116,False
57760,71.823627,120,True
57880,67.444646,120,True
58000,62.667579,120,True
58120,75.010992,120,True
58240,74.805437,120,True
58360,66.737563,120,True
58480,66.737532,120,True
58600,72.731402,120,True
58720,68.088409,120,True
58840,71.47384,120,True
58960,61.512081,120,True
59080,48.104782,120,True
59200,71.990495,120,True
59320,75.558818,120,True
59408,39.099458,88,False
59528,47.785801,120,True
59629,47.07998,101,False
59749,65.838345,120,True
59858,52.125154,109,False
